Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,112,0,6400,7794.04254196431,712.0681999949738,20554.46689997916,328.7142857142857,4.314467941611366,0.0,6400,9700,12000,12000,17000,18000,19000,19000,21000,21000,21000
,Aggregated,112,0,6400,7794.04254196431,712.0681999949738,20554.46689997916,328.7142857142857,4.314467941611366,0.0,6400,9700,12000,12000,17000,18000,19000,19000,21000,21000,21000
