Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/health,5632,0,3,3.5882340021812937,1.112400001147762,51.84460000600666,101.0,96.51574556726843,0.0,3,3,4,4,5,6,14,27,38,52,52
,Aggregated,5632,0,3,3.5882340021812937,1.112400001147762,51.84460000600666,101.0,96.51574556726843,0.0,3,3,4,4,5,6,14,27,38,52,52
